code;url;product_name;brands;stores;nutrition_grade_fr;main_category_fr;countries_fr;energy_100g;fat_100g;carbohydrates_100g;sugars_100g;fiber_100g;proteins_100g;salt_100g;image_url;image_small_url;last_modified_t
00976015;http://world-fr.openfoodfacts.org/produit/00976015/chips-de-legumes-marks-spencer;Chips de légumes;Marks & Spencer;Marks & Spencer;c;Chips et frites;France;2075.0;28.2;52.0;13.6;8.8;4.3;0.610000000000001;;;1498134406
0209868013973;http://world-fr.openfoodfacts.org/produit/0209868013973/palmiers-leclerc;Palmiers;Leclerc;Leclerc;e;Biscuits;France;1644.0;23.0;42.0;15.0;;4.5;0.930000000000001;;;1513250670
0261450121718;http://world-fr.openfoodfacts.org/produit/0261450121718/biscuits-p-tit-dej-bio-le-moulin-du-pivert;Biscuits p'tit dej bio;Le moulin du pivert;;d;Biscuits;France;1889.0;19.7;63.1;19.8;4.8;6.9;0.83;http://fr.openfoodfacts.org/images/products/026/145/012/1718/front.3.400.jpg;http://fr.openfoodfacts.org/images/products/026/145/012/1718/front.3.200.jpg;1473801465
03396111362012;http://world-fr.openfoodfacts.org/produit/03396111362012/chips-nature-sibell;Chips Nature;Sibell;;d;Chips et frites;France;2305.0;36.0;50.7;0.4;;5.1;1.21;;;1503949843
0615000022732;http://world-fr.openfoodfacts.org/produit/0615000022732/chocolate-picccadilly-biscuits-fortnum-mason;Chocolate Picccadilly Biscuits;Fortnum & Mason;;d;Biscuits;France;2238.0;32.8;54.4;33.3;5.4;0.0;0.2;;;1502723428
0652655000159;http://world-fr.openfoodfacts.org/produit/0652655000159/raspberry-white-chocolate-and-pistachio-crumbles-border-biscuits;Raspberry, White Chocolate and Pistachio Crumbles;Border Biscuits;Comptoir Irlandais;e;Biscuits;France;1824.0;21.9;52.1;26.0;;6.0;0.8;;;1469050618
0652655000890;http://world-fr.openfoodfacts.org/produit/0652655000890/sable-aux-flocons-d-avoine-canneberges-yaourt-graines-de-citrouille-border;Sablé aux Flocons d'Avoine, Canneberges, Yaourt & Graines de Citrouille;Border,Border Biscuits;;d;Biscuits;France;1615.0;20.7;41.1;15.7;;7.7;0.699999999999999;;;1506365813
0654479773127;http://world-fr.openfoodfacts.org/produit/0654479773127/biscuits-pepites-de-chocolat-delaunay-leveille;Biscuits Pépites de Chocolat;Delaunay Leveillé;;e;Biscuits;France;2084.0;25.1;64.4;31.1;;6.2;0.699999999999999;;;1511800286
0697893253264;http://world-fr.openfoodfacts.org/produit/0697893253264/palets-aux-perles-de-chocolat-fauchon;Palets aux Perles de Chocolat;Fauchon;Fauchon;e;Biscuits;France;2210.0;29.1;60.0;23.6;12.7;7.27;0.7390000000000001;http://fr.openfoodfacts.org/images/products/069/789/325/3264/front.8.400.jpg;http://fr.openfoodfacts.org/images/products/069/789/325/3264/front.8.200.jpg;1439141732
0728229123811;http://world-fr.openfoodfacts.org/produit/0728229123811/mediterranean-chips-terra;Mediterranean chips;Terra;;c;Chips et frites;France;2119.0;32.9;48.4;13.6;6.6;4.3;0.889;http://fr.openfoodfacts.org/images/products/072/822/912/3811/front.3.400.jpg;http://fr.openfoodfacts.org/images/products/072/822/912/3811/front.3.200.jpg;1446979876
0728229130444;http://world-fr.openfoodfacts.org/produit/0728229130444/stripes-blues-sea-salt-terra;Stripes & Blues Sea Salt;Terra;;c;Chips et frites;France;2017.0;29.0;43.0;6.8;14.0;5.2;1.0;;;1504980628
0832697000564;http://world-fr.openfoodfacts.org/produit/0832697000564/plantain-chips-pacific-sea-salt-samai;Plantain Chips Pacific sea salt;Samai;Cora;d;Chips et frites;France;2239.0;32.1;60.7;7.1;7.1;1.0;1.0;http://fr.openfoodfacts.org/images/products/083/269/700/0564/front.7.400.jpg;http://fr.openfoodfacts.org/images/products/083/269/700/0564/front.7.200.jpg;1446056993
0854530004447;http://world-fr.openfoodfacts.org/produit/0854530004447/chicago-style-bagel-chips-sea-salt-hometown-bagel;Chicago Style Bagel Chips Sea Salt;Hometown Bagel;;d;Chips et frites;France;1675.0;7.2;71.4;4.1;;13.5;3.2;;;1499158300
0870719000208;http://world-fr.openfoodfacts.org/produit/0870719000208/lemon-puff-bolands;Lemon Puff;Bolands;Le-comptoir-irlandais;d;Biscuits;France;1850.0;14.8;67.0;1.1;3.0;9.5;1.1;http://fr.openfoodfacts.org/images/products/087/071/900/0208/front.4.400.jpg;http://fr.openfoodfacts.org/images/products/087/071/900/0208/front.4.200.jpg;1439141762
